Location_Renamed,Location,Type_1,Type_2,Quarter,GDP_Quarterly
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2020Q3,29972288.97
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2020Q4,30672339.36
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2021Q1,31259633
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2021Q2,31756721.23
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2021Q3,32186155.41
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2021Q4,32570486.88
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2022Q1,32932267
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2022Q2,33294047.12
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2022Q3,33678378.59
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2022Q4,34107812.77
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2023Q1,34604901
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2023Q2,35184677.52
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2023Q3,35832108.09
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2023Q4,36524641.37
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2024Q1,37239726
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2024Q2,37954810.63
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2024Q3,38647343.91
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2024Q4,39294774.48
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2025Q1,39874551
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2025Q2,40364122.11
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2025Q3,40740936.47
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,02. Manufacturing,2025Q4,40982442.71
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2020Q1,34668704
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2020Q2,36036527.16
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2020Q3,37286691.25
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2020Q4,38436004.72
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2021Q1,39501276
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2021Q2,40499313.53
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2021Q3,41446925.75
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2021Q4,42360921.09
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2022Q1,43258108
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2022Q2,44155294.91
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2022Q3,45069290.25
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2022Q4,46016902.47
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2023Q1,47014940
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2023Q2,48074608.47
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2023Q3,49184702.25
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2023Q4,50328412.91
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2024Q1,51488932
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2024Q2,52649451.09
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2024Q3,53793161.75
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2024Q4,54903255.53
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2025Q1,55962924
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2025Q2,56955358.72
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2025Q3,57863751.25
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,"03. Electricity, steam, water and waste management",2025Q4,58671293.16
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2020Q1,2569685.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2020Q2,3276208.645
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2020Q3,3847410.906
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2020Q4,4302623.84
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2021Q1,4661179
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2021Q2,4942407.941
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2021Q3,5165642.219
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2021Q4,5350213.387
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2022Q1,5515453
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2022Q2,5680692.613
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2022Q3,5865263.781
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2022Q4,6088498.059
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2023Q1,6369727
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2023Q2,6721838.309
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2023Q3,7131944.281
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2023Q4,7580713.363
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2024Q1,8048814
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2024Q2,8516914.637
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2024Q3,8965683.719
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2024Q4,9375789.691
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2025Q1,9727901
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2025Q2,10002686.09
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2025Q3,10180813.41
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,04. Construction,2025Q4,10242951.39
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2020Q1,68761141.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2020Q2,71522271.23
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2020Q3,73970419.09
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2020Q4,76150296.79
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2021Q1,78106616
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2021Q2,79884088.43
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2021Q3,81527425.78
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2021Q4,83081339.74
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2022Q1,84590542
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2022Q2,86099744.26
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2022Q3,87653658.22
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2022Q4,89296995.57
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2023Q1,91074468
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2023Q2,93015883.32
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2023Q3,95091433.72
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2023Q4,97256407.51
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2024Q1,99466093
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2024Q2,101675778.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2024Q3,103840752.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2024Q4,105916302.7
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2025Q1,107857718
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2025Q2,109620286.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2025Q3,111159296.6
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Industry,Industry,2025Q4,112430036.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2020Q1,19659538
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2020Q2,20765780
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2020Q3,21791329.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2020Q4,22747714
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2021Q1,23646461
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2021Q2,24499098
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2021Q3,25317152.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2021Q4,26112152
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2022Q1,26895624
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2022Q2,27679096
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2022Q3,28474095.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2022Q4,29292150
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2023Q1,30144787
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2023Q2,31039691.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2023Q3,31969178.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2023Q4,32921720.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2024Q1,33885790
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2024Q2,34849859.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2024Q3,35802401.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2024Q4,36731888.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2025Q1,37626793
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2025Q2,38475587.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2025Q3,39266744.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,"01. Wholesale and retail trade; repair 
  of motor vehicles and motorcycles",2025Q4,39988736.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2020Q1,12143135.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2020Q2,12262316.42
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2020Q3,12504856.09
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2020Q4,12853131.85
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2021Q1,13289521
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2021Q2,13796400.87
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2021Q3,14356148.78
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2021Q4,14951142.05
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2022Q1,15563758
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2022Q2,16176373.95
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2022Q3,16771367.22
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2022Q4,17331115.13
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2023Q1,17837995
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2023Q2,18280258.38
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2023Q3,18669653.72
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2023Q4,19023803.7
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2024Q1,19360331
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2024Q2,19696858.3
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2024Q3,20051008.28
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2024Q4,20440403.62
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2025Q1,20882667
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2025Q2,21395421.1
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2025Q3,21996288.59
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,02. Transportation and storage,2025Q4,22702892.17
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2020Q1,1272414.5
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2020Q2,1275831.84
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2020Q3,1302509.469
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2020Q4,1349124.488
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2021Q1,1412354
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2021Q2,1488875.105
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2021Q3,1575364.906
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2021Q4,1668500.504
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2022Q1,1764959
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2022Q2,1861417.496
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2022Q3,1954553.094
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2022Q4,2041042.895
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2023Q1,2117564
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2023Q2,2181901.145
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2023Q3,2236269.594
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2023Q4,2283992.246
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2024Q1,2328392
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2024Q2,2372791.754
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2024Q3,2420514.406
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2024Q4,2474882.855
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2025Q1,2539220
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2025Q2,2616848.738
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2025Q3,2711091.969
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,03. Accommodation and food service activities,2025Q4,2825272.59
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,04. Information and communication,2020Q1,6521835
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,04. Information and communication,2020Q2,6690009.117
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,04. Information and communication,2020Q3,6855198.938
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,04. Information and communication,2020Q4,7017830.789
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,04. Information and communication,2021Q1,7178331
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,04. Information and communication,2021Q2,7337125.898
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,04. Information and communication,2021Q3,7494641.813
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,04. Information and communication,2021Q4,7651305.07
Autonomous Region in Muslim Mindanao (ARMM),ARMM,Services,04. Information and communication,2022Q1,7807542
